A00,Cólera
A598,Outras localizações tricomoníase
A599,Tricomoníase não especificada
A60,Infecções anogenitais  vírus herpes [herpes simples]
A600,Infecção órgãos genitais trato geniturinário  vírus herpes
A601,Infecção margem cutânea ânus reto  vírus herpes
A609,Infecção anogenital não especificada  vírus herpes
A63,Outras doenças transmissão predominantemente sexual
A630,Verrugas anogenitais (venéreas)
A638,Outras doenças especificadas transmissão predominantemente sexual
A64,Doenças sexualmente transmitidas
A65,Sífilis não-venérea
A66,Bouba
A660,Lesões iniciais bouba
A661,Papilomas múltiplos bouba plantar úmida (cravo bouba)
A662,Outras lesões cutâneas precoces bouba
A663,Hiperceratose devida bouba
A664,Gomas úlceras devidas à bouba
A665,Gangosa
A666,Lesões osteoarticulares devidas à bouba
A667,Outras manifestações bouba
A668,Bouba latente
A669,Bouba não especificada
A67,Pinta [carate]
A670,Lesões primárias pinta
A671,Lesões intermediárias pinta
A672,Lesões tardias pinta
A673,Lesões mistas pinta
A679,Pinta não especificada
A68,Febres recorrentes [Borrelioses]
A680,Febre recorrente transmitida piolhos
A681,Febre recorrente transmitida carrapatos
A689,Febre recorrente não especificada
A69,Outras infecções espiroquetas
A690,Estomatite ulcerativa necrotizante
A691,Outras infecções Vincent
A692,Doença Lyme
A698,Outras infecções especificadas espiroquetas
A699,Infecção espiroqueta
A70,Infecções causadas Clamídia psittaci
A71,Tracoma
A710,Fase inicial tracoma
A711,Fase ativa tracoma
A719,Tracoma não especificado
A74,Outras doenças causadas Clamídias
A740,Conjuntivite causada clamídias
A748,Outras doenças causadas clamídias
A749,Infecção causada clamídias não especificada
A75,Tifo exantemático
A750,Tifo epidêmico transmitido piolhos devido Rickettsia prowazekii
A751,Tifo recrudescente [doença Brill]
A752,Tifo Rickettsia typhi
A753,Tifo Rickettsia tsutsugamuchi
A759,Tifo não especificado
A77,Febre maculosa [rickettsioses transmitidas carrapatos]
A770,Febre maculosa Rickettsia richettsii
A771,Febre maculosa Rickettsia conorii
A772,Febre maculosa devida à Rickettsia siberica
A773,Febre maculosa devida à Rickettsia australis
A778,Outras febres maculosas
A779,Febre maculosa não especificada
A78,Febre Q
A79,Outras rickettsioses
A790,Febre trincheiras
A791,Rickettsiose variceliforme devida à Rickettsia akari
A798,Outros tipos rickettsioses especificadas
A799,Rickettsiose não especificada
A80,Poliomielite aguda
A800,Poliomielite paralítica aguda
A801,Poliomielite paralítica aguda
A802,Poliomielite paralítica aguda
A803,Poliomielites paralíticas agudas
A804,Poliomielite aguda não-paralítica
A809,Poliomielite aguda não especificada
A81,Infecções vírus atípicos sistema nervoso central
A810,Doença Creutzfeldt-Jakob
A811,Panencefalite esclerosante subaguda
A812,Leucoencefalopatia multifocal progressiva
A818,Outras infecções vírus atípicos sistema nervoso central
A819,Infecção não especificada sistema nervosos central vírus atípicos
A82,Raiva
A820,Raiva silvestre
A821,Raiva urbana
A829,Raiva não especificada
A83,Encefalite vírus transmitidos mosquitos
A830,Encefalite japonesa
A831,Encefalite eqüina ocidental
A832,Encefalite eqüina oriental
A833,Encefalite St. Louis
A834,Encefalite australiana
A835,Encefalite Califórnia
A836,Doença  vírus Rocio
A838,Outras encefalites vírus transmitidas mosquitos
A839,Encefalite não especificada vírus transmitida mosquitos
A84,Encefalite vírus transmitido carrapatos
A840,Encefalite taiga [encefalite vernoestival russa]
A841,Encefalite Europa Central transmitida carrapatos
A848,Outras encefalites vírus transmitidas carrapatos
A849,Encefalite não especificada vírus transmitida carrapatos
A85,Outras encefalites virais
A850,Encefalite enterovírus
A851,Encefalite adenovírus
A852,Encefalite vírus transmitido artrópodes
A858,Outras encefalites virais especificadas
A86,Encefalite viral
A87,Meningite viral
A870,Meningite enterovírus
A871,Meningite adenovírus
A872,Coriomeningite linfocitária
A878,Outras meningites virais
A879,Meningite viral não especificada
A88,Outras infecções virais sistema nervoso central não classificadas outra parte
A880,Febre exantemática enterovírus [exantema Boston]
A881,Vertigem epidêmica
A888,Outras infecções virais especificadas sistema nervoso central
A89,Infecções virais não especificadas sistema nervoso central
A90,Dengue [dengue clássico]
A91,Febre hemorrágica devida vírus dengue
A92,Outras febres virais transmitidas mosquitos
A920,Febre Chikungunya
A921,Febre O'nyong-nyong
A922,Febre eqüina venezuelana
A923,Infecção  vírus West Nile
A924,Febre vale Rift
A928,Outras febres virais especificadas transmitidas mosquitos
A929,Febre viral transmitida mosquitos
A93,Outras febres vírus transmitidas artrópodes não classificadas outra parte
A930,Febre Oropouche
A931,Febre flebótomos
A932,Febre Colorado transmitida carrapatos
A938,Outras febres virais especificadas transmitidas artrópodes
A94,Febre viral transmitida artrópodes
A95,Febre amarela
A950,Febre amarela silvestre
A951,Febre amarela urbana
A959,Febre amarela não especificada
A96,Febre hemorrágica arenavírus
A960,Febre hemorrágica Junin
A961,Febre hemorrágica Machupo
A962,Febre Lassa
A968,Outras febres hemorrágicas arenavírus
A969,Febre hemorrágica arenavírus
A98,Outras febres hemorrágicas vírus
A980,Febre hemorrágica Criméia (do Congo)
A981,Febre hemorrágica Omsk
A982,Doença floresta Kyasanur
A983,Doença Marburg
A984,Doença  vírus Ebola
A985,Febre hemorrágica síndrome renal
A988,Outras febres hemorrágicas especificadas vírus
A99,Febres hemorrágicas virais não especificadas
B00,Infecções  vírus herpes [herpes simples]
B000,Eczema herpético
B001,Dermatite vesicular devido vírus herpes
B002,Gengivoestomatite faringoamigdalite devida vírus herpes
B003,Meningite devida vírus herpes
B004,Encefalite devida vírus herpes
B005,Afecções oculares devidas vírus herpes
B007,Doença disseminada devida vírus herpes
B008,Outras formas infecção devida vírus herpes
B009,Infecção não especificada devida vírus herpes
B01,Varicela [Catapora]
B010,Meningite varicela
B011,Encefalite varicela
B012,Pneumopatia varicelosa
B018,Varicela outras complicações
B019,Varicela complicação
B02,Herpes zoster [Zona]
B020,Encefalite  vírus herpes zoster
B021,Meningite  vírus herpes zoster
B022,Herpes zoster acompanhado outras manifestações neurológicas
B023,Herpes zoster oftálmico
B027,Herpes zoster disseminado
B028,Herpes zoster outras complicações
B029,Herpes zoster complicação
B03,Varíola
B04,Varíola macacos [Monkeypox]
B05,Sarampo
B050,Sarampo complicado encefalite
B051,Sarampo complicado meningite
B052,Sarampo complicado pneumonia
B053,Sarampo complicado otite média
B054,Sarampo complicações intestinais
B058,Sarampo outras complicações
B059,Sarampo complicação
B06,Rubéola
B060,Rubéola complicações neurológicas
B068,Rubéola outras complicações
B069,Rubéola complicação
B07,Verrugas origem viral
B08,Outras infecções virais caracterizadas lesões pele membranas mucosas
B080,Outras infecções ortopoxvírus
B081,Molusco contagioso
B082,Exantema súbito [sexta doença]
B083,Eritema infeccioso [quinta doença]
B084,Estomatite vesicular devida enterovírus exantema
B085,Faringite vesicular devida enterovírus
B088,Outras infecções virais especificadas caracterizadas lesões pele membranas mucosas
B09,Infecção viral não especificada caracterizada lesões pele membranas mucosas
B15,Hepatite aguda A
B150,Hepatite A coma hepático
B159,Hepatite A coma hepático
B16,Hepatite aguda B
B160,Hepatite aguda B agente Delta (co-infecção)
B161,Hepatite aguda B agente Delta
B162,Hepatite aguda B agente Delta
B169,Hepatite aguda B agente Delta coma hepático
B17,Outras hepatites virais agudas
B170,(Super)infecção Delta aguda portador hepatite B
B171,Hepatite aguda C
B172,Hepatite aguda E
B178,Outras hepatites virais agudas especificadas
B18,Hepatite viral crônica
B180,Hepatite viral crônica B agente Delta
B181,Hepatite crônica viral B agente Delta
B182,Hepatite viral crônica C
B188,Outras hepatites crônicas virais
B189,Hepatite viral crônica não especificada
B19,Hepatite viral não especificada
B190,Hepatite viral
B199,Hepatite viral
B20,Doença  vírus imunodeficiência humana [HIV]
B200,Doença  HIV resultando infecções micobacterianas
B201,Doença  HIV resultando outras infecções bacterianas
B202,Doença  HIV resultando doença citomegálica
B203,Doença  HIV resultando outras infecções virais
B204,Doença  HIV resultando candidíase
B205,Doença  HIV resultando outras micoses
B206,Doença  HIV resultando pneumonia Pneumocystis jirovecii
B207,Doença  HIV resultando infecções múltiplas
B208,Doença  HIV resultando outras doenças infecciosas parasitárias
B209,Doença  HIV resultando doença infecciosa parasitária não especificada
B21,Doença  vírus imunodeficiência humana [HIV]
B210,Doença  HIV resultando sarcoma Kaposi
B211,Doença  HIV resultando linfoma Burkitt
B212,Doença  HIV resultando outros tipos linfoma não-Hodgkin
B213,Doença  HIV resultando outras neoplasias malignas tecidos linfático
B217,Doença  HIV resultando múltiplas neoplasias malignas
B218,Doença  HIV resultando outras neoplasias malignas
B219,Doença  HIV resultando neoplasia maligna não especificada
B22,Doença  vírus imunodeficiência humana [HIV] resultando outras doenças especificadas
B220,Doença  HIV resultando encefalopatia
B221,Doença  HIV resultando pneumonite intersticial linfática
B222,Doença  HIV resultando síndrome emaciação
B227,Doença  HIV resultando doenças múltiplas classificadas outra parte
B23,Doença  vírus imunodeficiência humana [HIV] resultando outras doenças
B230,Síndrome infecção aguda  HIV
B231,Doença  HIV resultando linfadenopatias generalizadas (persistentes)
B232,Doença  HIV resultando anomalias hematológicas imunológicas não classificadas outra parte
B238,Doença  HIV resultando outra afecções especificadas
B24,Doença  vírus imunodeficiência humana [HIV] não especificada
B25,Doença citomegalovírus
B250,Pneumonite citomegalovírus 
B251,Hepatite citomegalovírus
B252,Pancreatite citomegalovírus
B258,Outras doenças citomegalovírus
B259,Doença não especificada citomegalovírus
B26,Caxumba [Parotidite epidêmica]
B260,Orquite caxumba [parotidite epidêmica]
B261,Meningite caxumba [parotidite epidêmica]
B262,Encefalite caxumba [parotidite epidêmica]
B263,Pancreatite caxumba [parotidite epidêmica]
B268,Caxumba [parotidite epidêmica] outras complicações
B269,Caxumba [parotidite epidêmica] complicações
B27,Mononucleose infecciosa
B270,Mononucleose  vírus herpes gama
B271,Mononucleose citomegalovírus
B278,Outras mononucleoses infecciosas
B279,Mononucleose infecciosa não especificada
B30,Conjuntivite viral
B300,Ceratoconjuntivite devida adenovírus
B301,Conjuntivite devida adenovírus
B302,Faringoconjuntivite viral
B303,Conjuntivite hemorrágica aguda endêmica (por enterovírus)
B308,Outras conjuntivites virais
B309,Conjuntivite viral não especificada
B33,Outras doenças vírus não classificada outra parte
B330,Mialgia epidêmica
B331,Doença Ross River
B332,Cardite viral
B333,Infecção retrovírus não classificada outra parte
B334,Síndrome (cardio-)pulmonar Hantavírus [SPH] [SCPH]
B338,Outras doenças especificadas vírus
B34,Doenças vírus
B340,Infecção adenovírus localização não especificada
B341,Infecção enterovírus localização não especificada
B342,Infecção coronavírus localização não especificada
B343,Infecção parvovírus localização não especificada
B344,Infecção papovavírus localização não especificada
B348,Outras infecções vírus localização não especificada
B349,Infecção viral não especificada
B35,Dermatofitose
B350,Tinha barba couro cabeludo
B351,Tinha unhas
B352,Tinha mão
B353,Tinha pés
B354,Tinha corpo
B355,Tinha imbricada
B356,Tinea cruris
B358,Outras dermatofitoses
B359,Dermatofitose não especificada
B36,Outras micoses superficiais
B360,Pitiríase versicolor
B361,Tinha negra
B362,Piedra branca
B363,Piedra negra
B368,Outras micoses superficiais especificadas
B369,Micose superficial não especificada
B37,Candidíase
B370,Estomatite Candida
B371,Candidíase pulmonar
B372,Candidíase pele unhas
B373,Candidíase vulva vagina
B374,Candidíase outras localizações urogenitais
B375,Meningite Candida
B376,Endocardite Candida
B377,Septicemia Candida
B378,Candidíase outras localizações
B379,Candidíase não especificada
B38,Coccidioidomicose
B380,Coccidioidomicose pulmonar aguda
B381,Coccidioidomicose pulmonar crônica
B382,Coccidioidomicose pulmonar não especificada
B383,Coccidioidomicose cutânea
B384,Meningite coccidioidomicose
B387,Coccidioidomicose disseminada
B388,Outras formas coccidioidomicose
B389,Coccidioidomicose não especificada
B39,Histoplasmose
B390,Histoplasmose pulmonar aguda Histoplasma capsulatum
B391,Histoplasmose pulmonar crônica Histoplasma capsulatum
B392,Histoplasmose pulmonar não especificada Histoplasma capsulatum
B393,Histoplasmose disseminada Histoplasma capsulatum
B394,Histoplasmose não especificada Histoplasma capsulatum
B395,Histoplasmose Histoplasma duboisii
B399,Histoplasmose não especificada
B40,Blastomicose
B400,Blastomicose pulmonar aguda
B401,Blastomicose pulmonar crônica
B402,Blastomicose pulmonar não especificada
B403,Blastomicose cutânea
B407,Blastomicose disseminada
B408,Outras formas blastomicose
B409,Blastomicose não especificada
B41,Paracoccidioidomicose
B410,Paracoccidioidomicose pulmonar
B417,Paracoccidioidomicose disseminada
B418,Outras formas paracoccidioidomicose
B419,Paracoccidioidomicose não especificada
B42,Esporotricose
B420,Esporotricose pulmonar
B421,Esporotricose linfocutânea
B427,Esporotricose disseminada
B428,Outras formas esporotricose
B429,Esporotricose não especificada
B43,Cromomicose abscesso feomicótico
B430,Cromomicose cutânea
B431,Abscesso cerebral feomicótico
B432,Abscesso cisto feomicótico subcutâneos
B438,Outras formas cromomicose
B439,Cromomicose não especificada
B44,Aspergilose
B440,Aspergilose pulmonar invasiva
B441,Outras aspergiloses pulmonares
B442,Aspergilose amigdaliana
B447,Aspergilose disseminada
B448,Outras formas aspergilose
B449,Aspergilose não especificada
B45,Criptococose
B450,Criptococose pulmonar
B451,Criptococose cerebral
B452,Criptococose cutânea
B453,Criptococose óssea
B457,Criptococose disseminada
B458,Outras formas criptococose
B459,Criptococose não especificada
B46,Zigomicose
B460,Mucormicose pulmonar
B461,Mucormicose rinocerebral
B462,Mucormicose gastrointestinal
B463,Mucormicose cutânea
B464,Mucormicose disseminada
B465,Mucormicose não especificada
B468,Outras zigomicoses
B469,Zigomicose não especificada
B47,Micetoma
B470,Eumicetoma
B471,Actinomicetoma
B479,Micetoma não especificado
B48,Outras micoses
B480,Lobomicose
B481,Rinosporidiose
B482,Alesqueriose
B483,Geotricose
B484,Penicilose
B487,Micoses oportunistas
B488,Outras micoses especificadas
B49,Micose não especificada
B50,Malária Plasmodium falciparum
B500,Malária Plasmodium falciparum complicações cerebrais
B508,Outras formas graves complicadas malária Plasmodium falciparum
B509,Malária não especificada Plasmodium falciparum
B51,Malária Plasmodium vivax
B510,Malária Plasmodium vivax rotura baço
B518,Malária Plasmodium vivax outras complicações
B519,Malária Plasmodium vivax complicações
B52,Malária Plasmodium malariae
B520,Malária Plasmodium malariae nefropatia
B528,Malária Plasmodium malariae outras complicações
B529,Malária Plasmodium malariae complicações
B53,Outras formas malária confirmadas exames parasitológicos
B530,Malária Plasmodium ovale
B531,Malária plasmódios macacos
B538,Outras formas malárias confirmação parasitológica
B54,Malária não especificada
B55,Leishmaniose
B550,Leishmaniose visceral
B551,Leishmaniose cutânea
B552,Leishmaniose cutâneo-mucosa
B559,Leishmaniose não especificada
B56,Tripanossomíase africana
B560,Tripanossomíase Trypanosoma gambiense
B561,Tripanossomíase Trypanosoma rhodesiense
B569,Tripanossomíase africana não especificada
B57,Doença Chagas
B570,Forma aguda doença Chagas
B571,Forma aguda doença Chagas
B572,Doença Chagas (crônica) comprometimento cardíaco
B573,Doença Chagas (crônica) comprometimento aparelho digestivo
B574,Doença Chagas (crônica) comprometimento sistema nervoso
B575,Doença Chagas (crônica) comprometimento outros órgãos
B58,Toxoplasmose
B580,Oculopatia Toxoplasma
B581,Hepatite Toxoplasma
B582,Meningoencefalite Toxoplasma
B583,Toxoplasmose pulmonar
B588,Toxoplasmose comprometimento outros órgãos
B589,Toxoplasmose não especificada
B59,Pneumocistose
B60,Outras doenças devidas protozoários
B600,Babesiose
B601,Acantamebíase
B602,Naegleríase
B608,Outras doenças especificadas devidas protozoários
B64,Doença não especificada devida protozoários
B65,Esquistossomose [bilharziose] [Schistosomíase]
B650,Esquistossomose devida Schistosoma haematobium [esquistossomose urinária]
B651,Esquistossomose devida Schistosoma mansoni [esquistossomose intestinal]
B652,Esquistossomose devida Schistosoma japonicum
B653,Dermatite cercárias
B658,Outras esquistossomoses
B659,Esquistossomose não especificada
B66,Outras infestações trematódeos
B660,Opistorquíase
B661,Clonorquíase
B662,Dicrocelíase
B663,Fasciolíase
B664,Paragonimíase
B665,Fasciolopsíase
B668,Outras infestações trematódeos especificados
B669,Infecção não especificada trematódeo
B67,Equinococose
B670,Infestação hepática Echinococcus granulosus
B671,Infestação pulmonar Echinococcus granulosus
B672,Infestação óssea Echinococcus granulosus
B673,Infestações Echinmococcus granulosus
B674,Infestação não especificada Echinococcus granulosus
B675,Infestação hepática Echinococcus multilocularis
B676,Infecções Echinococcus multilocularis
B677,Infestação não especificada Echinococcus multilocularis
B678,Infestação hepática não especificada
B679,Infestações Echinococcus
B68,Infestação Taenia
B680,Infestação Taenia solium
B681,Infestação Taenia saginata
B689,Infestação não especificada Taenia
B69,Cisticercose
B690,Cisticercose sistema nervoso central
B691,Cisticercose olho
B698,Cisticercose outras localizações
B699,Cisticercose não especificada
B70,Difilobotríase esparganose
B700,Difilobotríase
B701,Esparganose
B71,Outras infestações cestóides
B710,Infestação Hymenolepis
B711,Infestação Dipylidium
B718,Outras infestações especificadas cestóides
B719,Infestação não especificada cestóides
B72,Dracontíase
B73,Oncocercose
B74,Filariose
B740,Filariose Wuchereria bancrofti
B741,Filariose Brugia malayi
B742,Filariose Brugia timori
B743,Loaíase
B744,Mansonelose
B748,Outras filarioses
B749,Filariose não especificada
B75,Triquinose
B76,Ancilostomíase
B760,Ancilostomose
B761,Necatoríase
B768,Outras ancilostomíases
B769,Ancilostomíase não especificada
B77,Ascaridíase
B770,Ascaridíase complicações intestinais
B778,Ascaridíase outras complicações
B779,Ascaridíase não especificada
B78,Estrongiloidíase
B780,Estrongiloidíase intestinal
B781,Estrongiloidíase cutânea
B787,Estrongiloidíase disseminada
B789,Estrongiloidíase não especificada
B79,Tricuríase
B80,Oxiuríase
B81,Outras helmintíases intestinais
